text,label
"Kateto, escribe un blog sobre lo que dije recien.",talk
"Kateto, genera un documento sobre este codigo.",talk
"Kateto, dime cuanto tiempo me queda para terminar.",talk
"Kateto, dime que tarea hago ahora.",talk
"Kateto, hace vos esta tarea.",talk
"Mira esto Kateto, que te parece?",talk
"Lo hiciste mal Kateto, deberia ser asi.", talk
"Que mal esta el clima.",think
"Que lindo esta el clima.",think
"Me re cago en todo.",think
"De donde viene ese ruido?.",think
"De donde viene ese olor?.",think
"Entonces...",think
"Necesito pensar...",think
"Asi que funciona asi...",think
"Aaaaa, ya entendi.",think
"De donde viene esto?.",think
"Como podria hacer esto...",think
"Necesito entender esto...",think
"Funcionara asi?...",think
"Salvador, necesito que hagas esto.",think
"No es si Salva.",think
"Gustavo, cuando tienes una variable integer no podes poner flotantes.",think
"Che Gusta, como vas?",think

