text,label
"Che Juan, como va la mudanza?",think
"Decime que hago ahora.",talk
"Tengo que dejar de procrastinar.",think
"Cateto, escribime un dialogo corto.",talk
"Claro, por eso no funcionaba.",think
"El vecino esta haciendo ruido.",think
"Decime por que pasa esto.",talk
"Me estoy superando cada dia.",think
"Kateto, escribime un poema corto.",talk
"Teto, hola, como estas hoy?",talk
"Kasane Teto, dame un resumen del proyecto.",talk
"Se actualizo el framework.",think
"Ya lo tengo resuelto en la cabeza.",think
"Camila, nos vemos en el asado?",think
"Carlos se enoja cuando le hacen code review.",think
"Necesito un enfoque sistematico.",think
"Creame una analogia explicativa.",talk
"Cateto, cual es la mejor opcion?",talk
"La bateria se esta agotando.",think
"Recordar actualizar el changelog.",think
"Teto, como lo harias vos?",talk
"Fernando, podemos mejorar la UX del dashboard?",think
"Tengo que ver el bosque completo.",think
"Kasane Teto, que hace esta funcion exactamente?",talk
"No me olvide de actualizar la doc.",think
"Necesito confiar en mi instinto.",think
"La red esta inestable hoy.",think
"Cateto, revisa bien antes de responder.",talk
"Sera que necesito mas memoria?",think
"Mama, necesito un consejo.",think
"Kateto, evaluame el rendimiento de esto.",talk
"Kasane Teto, que me recomendas para este problema?",talk
"Gustavo, revisa los permisos del bucket.",think
"Que ventajas tiene cada uno?",talk
"Teto, que me recomendas para este problema?",talk
"Kasane Teto, creame una metafora para esto.",talk
"Kateto, que enfoque me sugieres?",talk
"Teto, el formato esta mal, cambialo.",talk
"Cateto, revisame el diseño de la API.",talk
"Gustavo, vas al cine esta noche?",think
"Teto, corregi el ultimo parrafo.",talk
"Che Juan, me pasas el numero del medico?",think
"Kateto, que es lo mas urgente?",talk
"Lucia es muy eficiente con su tiempo.",think
"Inventame un ejemplo practico.",talk
"Hermano, me prestas la camioneta?",think
"Valentina, me pasas la receta de la torta?",think
"Che Pedro, probaste la cerveza artesanal?",think
"Ahora entiendo por que pasaba.",think
"Kateto, resumime la documentacion.",talk
"No entiendo el flujo de datos.",think
"Cual seria tu consejo?",talk
"Entonces ese era el problema.",think
"Cateto, que framework me recomendas?",talk
"Kasane Teto, analizame este codigo.",talk
"No logro entender la logica.",think
"Kasane Teto, che, como va todo?",talk
"Cateto, resumime la documentacion.",talk
"Cateto, buenas tardes, necesito ayuda.",talk
"Kasane Teto, inventame una historia breve.",talk
"Che Julieta, me pasas el contacto del plomero?",think
"Kateto, te equivocaste en la ultima respuesta.",talk
"Hermana, me ayudarias a elegir?",think
"Kateto, buenas, arrancamos?",talk
"Paula, vamos al recital el mes que viene?",think
"Me estoy enfocando en lo importante.",think
"Maria siempre tiene las mejores ideas.",think
"De donde viene ese ruido?",think
"Hola, como estas hoy?",talk
"Pensemos en las alternativas.",think
"Kateto, recordame que tengo pendiente.",talk
"Cateto, analizame este codigo.",talk
"Cateto, me orientas con este diseño?",talk
"Kateto, resumime lo que hablamos ayer.",talk
"Cateto, cuando termina el sprint?",talk
"Me estoy sintiendo mas seguro.",think
"Kasane Teto, que version estamos usando?",talk
"Cateto, que enfoque me sugieres?",talk
"Estoy re contento con el avance.",think
"Hermano, nos vemos en la cancha?",think
"Teto, armame un esquema del proyecto.",talk
"Genera un resumen ejecutivo.",talk
"Teto, generame un documento con los datos.",talk
"Necesito que alguien revise la seguridad.",think
"Cateto, que herramienta me conviene usar?",talk
"Kateto, que me recomendas para este problema?",talk
"Que alguien me ayude con la query compleja.",think
"Mama, me pasas el remedio?",think
"Que alguien me explique la arquitectura.",think
"Que carajo esta pasando aqui?",think
"Me estoy acostumbrando al ritmo.",think
